f,r,x
17.914300,239.25,-3402.62
17.939250,236.34,-3381.66
17.964200,233.86,-3363.60
17.989150,230.84,-3341.74
18.014100,228.08,-3321.40
18.039050,225.37,-3301.17
18.064000,222.73,-3281.69
18.088950,220.03,-3261.36
18.113900,217.16,-3239.74
18.138850,214.64,-3220.62
18.163800,212.01,-3200.60
18.188750,209.51,-3181.41
18.213700,207.09,-3162.53
18.238650,204.55,-3142.82
18.263600,202.09,-3123.60
18.288550,199.61,-3103.97
18.313500,197.44,-3086.80
18.338450,194.79,-3065.63
18.363400,192.50,-3047.38
18.388350,190.02,-3027.16
18.413300,187.63,-3007.78
18.438250,185.68,-2991.76
18.463200,183.45,-2973.51
18.488150,180.70,-2950.64
18.513100,178.73,-2934.10
18.538050,176.53,-2915.71
18.563000,174.37,-2897.36
18.587950,172.34,-2879.96
18.612900,170.22,-2861.85
18.637850,168.01,-2842.58
18.662800,165.73,-2822.89
18.687750,163.89,-2806.73
18.712700,161.64,-2786.96
18.737650,159.59,-2768.69
18.762600,157.64,-2751.21
18.787550,155.43,-2731.46
18.812500,153.75,-2716.01
18.837450,151.52,-2695.74
18.862400,149.68,-2678.78
18.887350,147.65,-2660.07
18.912300,145.69,-2641.84
18.937250,143.74,-2623.47
18.962200,142.09,-2607.93
18.987150,139.97,-2587.56
19.012100,138.27,-2571.24
19.037050,136.27,-2551.98
19.062000,134.48,-2534.59
19.086950,132.73,-2517.43
19.111900,131.06,-2500.78
19.136850,129.14,-2481.78
19.161800,127.40,-2464.27
19.186750,125.67,-2446.85
19.211700,124.07,-2430.64
19.236650,122.34,-2412.71
19.261600,120.46,-2393.18
19.286550,119.00,-2378.23
19.311500,117.51,-2360.24
19.336450,116.09,-2343.89
19.361400,114.54,-2325.08
19.386350,113.21,-2308.71
19.411300,111.71,-2291.49
19.436250,110.35,-2274.43
19.461200,109.04,-2257.56
19.486150,107.78,-2240.60
19.511100,106.32,-2223.42
19.536050,104.93,-2205.89
