f,r,x
18.088950,36.69,1231.71
18.113900,37.65,1250.73
18.138850,38.66,1270.08
18.163800,39.67,1289.27
18.188750,40.74,1309.18
18.213700,41.87,1329.65
18.238650,42.99,1349.97
18.263600,44.15,1370.62
18.288550,45.29,1391.28
18.313500,46.58,1412.74
18.338450,47.83,1434.30
18.363400,49.18,1455.94
18.388350,50.56,1479.01
18.413300,51.96,1501.50
18.438250,53.45,1525.43
18.463200,54.86,1548.14
18.488150,56.56,1572.98
18.513100,58.17,1597.25
18.538050,59.82,1622.09
18.563000,61.57,1647.45
18.587950,63.37,1673.21
18.612900,65.25,1699.53
18.637850,67.14,1726.62
18.662800,69.11,1754.05
18.687750,71.19,1782.05
18.712700,73.39,1810.77
18.737650,75.70,1839.80
18.762600,77.98,1869.04
18.787550,80.45,1900.06
18.812500,83.03,1931.58
18.837450,85.72,1964.61
18.862400,88.42,1996.62
18.887350,91.30,2030.47
18.912300,94.37,2064.63
18.937250,97.55,2101.40
18.962200,100.77,2136.62
18.987150,104.10,2172.99
19.012100,107.71,2210.53
19.037050,111.47,2250.54
19.062000,115.30,2290.36
19.086950,119.48,2332.83
19.111900,123.98,2374.17
19.136850,128.32,2418.79
19.161800,133.08,2463.86
19.186750,138.17,2509.79
19.211700,143.54,2558.18
19.236650,149.52,2609.55
19.261600,155.37,2659.34
19.286550,161.73,2714.10
19.311500,168.20,2768.36
19.336450,175.13,2825.05
19.361400,182.92,2885.43
19.386350,190.58,2944.82
19.411300,199.38,3010.51
19.436250,208.10,3074.33
19.461200,217.65,3143.66
19.486150,227.43,3212.59
19.511100,239.30,3293.44
19.536050,251.06,3371.65
19.561000,263.76,3452.36
19.585950,276.77,3536.64
19.610900,293.07,3634.06
19.635850,309.04,3729.78
19.660800,325.84,3827.12
19.685750,344.38,3930.70
19.710700,366.33,4051.14
19.735650,388.54,4164.68
19.760600,413.64,4294.01
19.785550,441.89,4434.22
19.810500,472.63,4578.61
19.835450,505.35,4728.83
19.860400,544.70,4903.34
19.885350,585.79,5073.87
19.910300,635.06,5274.02
19.935250,690.57,5487.02
19.960200,773.61,5707.98
19.985150,861.14,5953.51
20.010100,982.63,6209.68
20.035050,1119.28,6512.08
20.060000,1265.89,6822.74
20.084950,1476.64,7165.37
20.109900,1701.19,7576.31
20.134850,1985.14,7992.44
20.159800,2333.11,8442.30
20.184750,2774.08,8959.23
20.209700,3303.88,9486.65
20.234650,4009.97,10000.00
20.259600,4940.53,10000.00
20.284550,6085.42,10000.00
20.309500,7570.52,10000.00
20.334450,9429.80,10000.00
20.359400,10000.00,10000.00
20.384350,10000.00,10000.00
20.409300,10000.00,9251.13
20.434250,10000.00,6283.26
20.459200,10000.00,2430.28
20.484150,10000.00,-1118.20
20.509100,10000.00,-4073.27
20.534050,10000.00,-5896.82
20.559000,10000.00,-6934.46
20.583950,10000.00,-7381.22
20.608900,9283.16,-7329.47
20.633850,7908.41,-7198.57
20.658800,6800.78,-6864.26
20.683750,5909.67,-6491.71
20.708700,5176.94,-6145.57
20.733650,4560.81,-5767.90
20.758600,4060.27,-5416.15
20.783550,3655.94,-5080.38
20.808500,3299.85,-4782.58
20.833450,2990.74,-4489.50
20.858400,2735.99,-4214.58
20.883350,2508.84,-3971.10
20.908300,2315.80,-3737.85
20.933250,2141.81,-3520.46
20.958200,1995.74,-3311.41
20.983150,1859.91,-3124.18
21.008100,1742.27,-2941.83
21.033050,1639.11,-2775.41
21.058000,1540.96,-2616.87
21.082950,1456.87,-2469.71
21.107900,1379.99,-2326.85
21.132850,1312.63,-2195.12
21.157800,1249.59,-2069.30
21.182750,1191.57,-1950.57
21.207700,1139.67,-1837.24
21.232650,1092.94,-1730.78
21.257600,1047.72,-1627.05
21.282550,1008.17,-1529.61
21.307500,971.06,-1436.06
21.332450,936.60,-1348.27
21.357400,904.17,-1263.93
21.382350,873.87,-1182.11
21.407300,846.46,-1103.77
21.432250,821.19,-1028.33
21.457200,797.00,-956.04
21.482150,775.02,-885.62
21.507100,753.34,-817.62
21.532050,732.29,-752.26
21.557000,713.66,-688.59
21.581950,696.08,-626.05
21.606900,678.84,-566.20
21.631850,663.04,-507.14
21.656800,647.40,-450.76
21.681750,632.48,-396.00
21.706700,618.49,-342.17
21.731650,605.49,-289.93
21.756600,592.13,-238.39
21.781550,580.01,-189.19
21.806500,568.44,-140.43
21.831450,556.52,-92.75
21.856400,545.09,-45.99
21.881350,534.16,-0.40
21.906300,524.70,44.08
21.931250,514.76,87.95
21.956200,504.78,131.56
21.981150,495.61,173.69
22.006100,486.51,215.50
22.031050,477.43,256.24
22.056000,469.67,296.58
22.080950,461.48,336.18
22.105900,454.13,375.76
22.130850,446.75,414.47
22.155800,439.41,452.28
22.180750,433.11,490.42
22.205700,426.59,528.00
22.230650,420.39,565.30
22.255600,414.65,602.10
22.280550,409.11,638.85
22.305500,403.79,674.97
22.330450,398.69,711.02
22.355400,393.96,747.03
22.380350,389.55,783.18
22.405300,384.93,818.93
22.430250,380.92,854.81
22.455200,376.90,889.20
22.480150,373.46,924.40
22.505100,370.03,958.92
22.530050,366.70,993.21
22.555000,362.73,1027.39
22.579950,360.30,1060.94
22.604900,356.87,1095.17
22.629850,354.52,1129.42
22.654800,351.61,1163.04
22.679750,349.01,1196.45
22.704700,346.34,1230.03
22.729650,344.39,1262.89
22.754600,343.06,1296.35
22.779550,340.20,1330.24
22.804500,338.99,1363.40
22.829450,337.65,1396.73
22.854400,336.14,1430.19
22.879350,334.91,1464.66
22.904300,333.81,1499.57
22.929250,332.71,1534.33
22.954200,333.91,1567.30
22.979150,333.49,1602.43
23.004100,332.86,1636.79
23.029050,330.54,1672.77
23.054000,329.47,1704.33
23.078950,327.60,1736.34
23.103900,327.37,1768.19
23.128850,326.08,1799.50
23.153800,324.76,1829.45
23.178750,322.70,1863.64
23.203700,321.98,1895.90
23.228650,321.73,1929.94
23.253600,320.08,1963.22
23.278550,320.81,1997.40
23.303500,315.86,2031.59
23.328450,316.86,2065.50
23.353400,316.33,2099.32
23.378350,315.81,2134.16
23.403300,314.93,2168.79
23.428250,313.52,2203.71
23.453200,314.04,2237.70
23.478150,312.62,2274.49
23.503100,310.69,2311.47
23.528050,310.61,2345.47
23.553000,309.99,2383.42
23.577950,308.28,2419.30
23.602900,308.67,2453.35
23.627850,309.29,2490.91
23.652800,307.69,2529.15
23.677750,307.38,2566.22
23.702700,305.77,2604.65
23.727650,304.82,2641.42
23.752600,304.47,2678.18
23.777550,302.60,2719.15
23.802500,304.07,2754.46
23.827450,302.26,2792.88
23.852400,299.33,2833.35
