f,r,x
17.340450,371.57,-3898.57
17.365400,365.16,-3876.74
17.390350,365.09,-3853.61
17.415300,359.81,-3827.57
17.440250,361.12,-3807.36
17.465200,356.60,-3780.52
17.490150,357.08,-3764.08
17.515100,350.74,-3739.66
17.540050,347.25,-3716.62
17.565000,346.95,-3693.35
17.589950,339.70,-3672.08
17.614900,340.58,-3648.60
17.639850,337.65,-3631.34
17.664800,333.30,-3607.57
17.689750,331.25,-3592.53
17.714700,330.69,-3567.33
17.739650,328.71,-3545.94
17.764600,326.14,-3526.16
17.789550,323.58,-3505.86
17.814500,319.33,-3482.90
17.839450,320.92,-3463.58
17.864400,311.55,-3441.20
17.889350,312.25,-3419.77
17.914300,311.84,-3401.23
17.939250,312.21,-3381.72
17.964200,308.23,-3360.20
17.989150,304.46,-3339.19
18.014100,305.19,-3319.26
18.039050,302.03,-3302.61
18.064000,297.90,-3281.80
18.088950,299.45,-3261.62
18.113900,297.59,-3243.92
18.138850,295.78,-3222.67
18.163800,292.14,-3201.48
18.188750,291.85,-3184.01
18.213700,289.09,-3163.86
18.238650,288.32,-3146.31
18.263600,284.36,-3126.99
18.288550,285.74,-3108.18
18.313500,280.32,-3088.02
18.338450,279.75,-3070.27
18.363400,278.57,-3049.11
18.388350,276.38,-3030.08
18.413300,273.56,-3012.41
18.438250,274.45,-2995.85
18.463200,270.30,-2975.96
18.488150,270.29,-2955.48
18.513100,268.96,-2937.54
18.538050,268.89,-2918.98
18.563000,266.77,-2900.66
18.587950,266.62,-2882.68
18.612900,264.95,-2862.00
18.637850,263.71,-2844.39
18.662800,262.47,-2826.11
18.687750,260.14,-2809.61
18.712700,259.77,-2789.06
18.737650,258.77,-2772.61
18.762600,257.29,-2754.72
18.787550,256.55,-2736.06
18.812500,255.72,-2715.38
18.837450,254.54,-2699.73
18.862400,252.04,-2681.24
18.887350,253.83,-2664.46
18.912300,253.77,-2647.15
18.937250,250.18,-2629.81
18.962200,252.36,-2612.91
18.987150,250.91,-2592.45
19.012100,250.05,-2574.46
19.037050,249.17,-2557.12
19.062000,249.57,-2539.74
19.086950,249.26,-2522.35
19.111900,249.23,-2506.37
19.136850,247.02,-2486.25
19.161800,249.09,-2469.53
19.186750,248.11,-2453.86
19.211700,246.25,-2435.56
19.236650,246.56,-2416.22
19.261600,247.20,-2400.62
19.286550,245.88,-2382.83
19.311500,246.82,-2363.93
19.336450,246.59,-2346.50
19.361400,246.17,-2328.99
19.386350,245.30,-2310.84
19.411300,245.42,-2294.06
19.436250,247.02,-2277.42
19.461200,246.36,-2260.17
19.486150,245.53,-2242.40
19.511100,246.06,-2225.04
19.536050,246.83,-2207.80
19.561000,246.05,-2191.85
19.585950,246.33,-2174.92
19.610900,245.06,-2156.94
19.635850,245.38,-2140.49
19.660800,244.65,-2122.98
19.685750,244.63,-2105.16
19.710700,243.78,-2088.83
19.735650,243.29,-2071.58
19.760600,242.92,-2054.68
19.785550,243.26,-2038.01
19.810500,243.03,-2020.32
19.835450,241.49,-2002.29
19.860400,242.39,-1984.50
19.885350,241.79,-1966.74
19.910300,242.53,-1949.25
19.935250,241.75,-1930.60
19.960200,242.09,-1912.80
19.985150,242.23,-1894.00
20.010100,241.98,-1876.24
20.035050,242.98,-1856.80
20.060000,243.98,-1838.08
20.084950,244.44,-1819.47
20.109900,245.17,-1800.06
20.134850,246.38,-1780.99
20.159800,246.15,-1761.43
20.184750,247.52,-1742.50
20.209700,248.55,-1722.86
20.234650,250.29,-1704.22
20.259600,250.37,-1684.80
20.284550,251.75,-1665.80
20.309500,254.10,-1645.94
20.334450,254.71,-1625.74
20.359400,256.01,-1606.94
20.384350,257.38,-1587.36
20.409300,260.03,-1567.69
20.434250,261.20,-1548.59
20.459200,263.08,-1527.69
20.484150,265.23,-1508.10
20.509100,267.22,-1488.64
20.534050,269.34,-1468.65
20.559000,272.40,-1449.81
20.583950,274.79,-1429.54
20.608900,276.72,-1408.56
20.633850,279.50,-1388.19
20.658800,282.01,-1367.66
20.683750,284.67,-1346.94
20.708700,287.12,-1326.62
20.733650,289.39,-1305.49
20.758600,291.98,-1285.01
20.783550,294.74,-1263.96
20.808500,297.84,-1242.67
20.833450,299.74,-1220.81
20.858400,303.15,-1198.65
20.883350,305.91,-1176.99
20.908300,309.42,-1154.52
20.933250,312.59,-1131.91
20.958200,315.83,-1108.41
20.983150,318.76,-1085.54
21.008100,322.61,-1061.72
21.033050,326.33,-1038.25
21.058000,330.39,-1014.59
21.082950,333.82,-990.12
21.107900,338.79,-965.60
21.132850,342.96,-941.04
21.157800,347.85,-915.65
21.182750,352.61,-890.39
21.207700,358.04,-864.77
21.232650,362.86,-839.06
21.257600,368.39,-812.84
21.282550,373.64,-786.90
21.307500,379.66,-759.80
21.332450,385.25,-733.10
21.357400,391.28,-705.74
21.382350,397.65,-677.90
21.407300,404.46,-649.65
21.432250,411.81,-620.65
21.457200,418.47,-591.15
21.482150,426.16,-561.59
21.507100,434.39,-530.92
21.532050,442.59,-499.48
21.557000,451.31,-467.63
21.581950,460.43,-435.87
21.606900,469.53,-402.81
21.631850,479.48,-369.07
21.656800,489.41,-335.44
21.681750,499.45,-300.43
21.706700,510.18,-265.16
21.731650,521.08,-229.73
21.756600,532.66,-193.25
21.781550,544.29,-156.22
21.806500,556.59,-118.71
21.831450,569.22,-80.71
21.856400,582.58,-41.83
21.881350,596.37,-1.94
21.906300,610.19,38.30
21.931250,625.14,79.32
21.956200,641.50,121.18
21.981150,658.74,164.03
22.006100,676.15,208.12
22.031050,694.89,253.49
22.056000,714.27,298.95
22.080950,735.76,346.70
22.105900,758.43,394.91
22.130850,782.56,444.66
22.155800,807.33,496.61
22.180750,834.68,548.27
22.205700,862.65,602.73
22.230650,892.94,658.21
22.255600,924.77,714.93
22.280550,959.64,773.07
22.305500,995.18,833.58
22.330450,1033.98,896.30
22.355400,1076.61,959.99
22.380350,1121.82,1024.93
22.405300,1168.69,1092.89
22.430250,1220.53,1161.51
22.455200,1275.01,1232.58
22.480150,1334.13,1302.89
22.505100,1396.26,1377.07
22.530050,1466.29,1452.49
22.555000,1536.13,1528.36
22.579950,1614.07,1606.13
22.604900,1696.60,1683.78
22.629850,1784.29,1761.94
22.654800,1878.16,1846.00
22.679750,1980.21,1926.40
22.704700,2088.44,2009.86
22.729650,2202.07,2090.54
22.754600,2327.72,2170.09
22.779550,2463.52,2250.25
22.804500,2604.79,2328.80
22.829450,2757.95,2404.89
22.854400,2924.01,2472.91
22.879350,3098.24,2546.14
22.904300,3290.15,2607.89
22.929250,3495.99,2672.13
22.954200,3711.93,2711.53
22.979150,3946.65,2756.95
23.004100,4187.61,2785.93
23.029050,4467.49,2792.47
23.054000,4737.82,2780.96
23.078950,5039.49,2754.44
23.103900,5349.41,2705.41
23.128850,5667.28,2613.72
23.153800,5991.94,2516.24
23.178750,6345.75,2356.10
23.203700,6683.89,2162.82
23.228650,7005.46,1951.52
23.253600,7318.42,1672.88
23.278550,7627.62,1364.66
23.303500,7890.21,1041.81
23.328450,8134.18,638.54
23.353400,8345.19,236.98
23.378350,8478.32,-177.18
23.403300,8579.70,-644.73
23.428250,8642.59,-1100.90
23.453200,8660.63,-1569.91
23.478150,8597.93,-2005.93
23.503100,8516.83,-2468.91
23.528050,8402.54,-2887.90
